test_y,train_test_y
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 >50K, >50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, >50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 >50K, >50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, >50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, >50K
 >50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, >50K
 >50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 >50K, <=50K
 >50K, >50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, >50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, >50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, >50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, >50K
 >50K, >50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, >50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 >50K, >50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, >50K
 <=50K, <=50K
 >50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, >50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 >50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, >50K
 >50K, <=50K
 >50K, >50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, >50K
 >50K, >50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 >50K, >50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, >50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, >50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 >50K, >50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, >50K
 >50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, >50K
 >50K, >50K
 <=50K, <=50K
 >50K, >50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, >50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, >50K
 >50K, >50K
 >50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 >50K, >50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, >50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, >50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, >50K
 <=50K, >50K
 >50K, >50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, >50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 >50K, >50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, >50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, >50K
 >50K, >50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, >50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 >50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, <=50K
 >50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, >50K
 <=50K, <=50K
 >50K, >50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
 >50K, <=50K
 >50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 <=50K, <=50K
 >50K, >50K
